aberration_level,noise_level,count,mse_mean,re_mean,offdiag_energy_ratio_mean,energy_ratio_vs_ref_mean
High,High,1,3.797991891586733,5.51216247335584,0.7960714861822193,6.250429298851648
Low,Low,1,11.047483848278459,9.401056897294323,0.05567237403441646,10.39425905688057
