file,aberration_level,noise_level,num_modes_used,mse,relative_error,offdiag_energy_ratio,energy_ratio_vs_ref
dummy_bent_fiber_mtm,High,High,8,3.797991891586733,5.51216247335584,0.7960714861822193,6.250429298851648
dummy_straight_fiber_mtm,Low,Low,8,11.047483848278459,9.401056897294323,0.05567237403441646,10.39425905688057
